label,status,dataset,provider,mode,rows,correct,accuracy,gold_hit_rate,avg_evidence_docs,avg_latency_sec,p50_latency_sec,p95_latency_sec,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_actual_calls,avg_logical_calls,avg_cached_generation_calls,correct_per_1m_tokens,correct_per_1m_output_tokens,tokens_per_correct,final_answer_ok_rate,fallback_rows,state_filter_rate,retrieval_cache_hit_rate,doc_cache_hit_rate,hyre_cache_hit_rate,near_cap_rows,path
8B rag_simple,signed,housing,groq-llama8b,rag_simple,6853,4269,0.6229388588939151,0.3694732234058077,5.0,1.0655187509120094,0.9,2.0,2629.573909236831,323.89960601196555,2953.473515248796,1.0179483437910404,1.0179483437910404,0.0,210.91736752595855,1923.2467324177676,4741.193253689388,1.0,0,1.0,1.0,1.0,,0,logs/eval_rag_simple_groq-llama8b_20260520_132953_housing_local-snap-hyre-groq-llama8b-housing-rag_simple-nfull-k5_detail.jsonl
8B rag_hyde,signed,housing,groq-llama8b,rag_hyde,6853,4047,0.5905442871735006,0.2695169998540785,5.0,0.9916241062308478,0.8,1.8,2448.839778199329,331.94192324529405,2780.7817014446227,1.0210126951699985,2.0,1.0,212.36628781997217,1779.0590637058763,4708.84531751915,1.0,0,1.0,1.0,1.0,1.0,0,logs/eval_rag_hyde_groq-llama8b_20260520_233346_housing_local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5_detail.jsonl
8B snap_hyre,signed,housing,groq-llama8b,snap_hyre,6853,4043,0.5899606011965562,0.2956369473223406,5.0,0.985816430760251,0.9,1.8,2377.375018240187,320.6842258864731,2698.05924412666,1.0204290091930541,2.0,1.0,218.66109963331135,1839.6932358170025,4573.2871629977735,1.0,0,1.0,1.0,1.0,1.0,0,logs/eval_snap_hyre_groq-llama8b_20260521_041736_housing_local-snap-hyre-groq-llama8b-housing-snap_hyre-nfull-k5_detail.jsonl
70B rag_simple,signed,housing,groq-llama70b,rag_simple,6853,4258,0.621333722457318,0.3694732234058077,5.0,1.3202101269517,1.3,2.1,2592.8259156573763,278.3583831898439,2871.1842988472204,1.0,1.0,0.0,216.40328790693906,2232.1358363170284,4621.001878816346,1.0,0,1.0,1.0,1.0,,0,logs/eval_rag_simple_groq-llama70b_20260520_230339_housing_local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5_detail.jsonl
70B rag_hyde,signed,housing,groq-llama70b,rag_hyde,6853,4263,0.6220633299284984,0.3494819786954618,5.0,1.351568656063038,1.3,2.2,2512.866044068291,270.3197139938713,2783.1857580621627,1.0002918429884722,2.0,1.0,223.5076577718693,2301.213332678363,4474.119634060521,1.0,0,1.0,1.0,1.0,1.0,0,logs/eval_rag_hyde_groq-llama70b_20260521_013539_housing_local-snap-hyre-groq-llama70b-housing-rag_hyde-nfull-k5_detail.jsonl
70B snap_hyre,signed,housing,groq-llama70b,snap_hyre,6853,4087,0.5963811469429448,0.23113964686998395,5.0,1.4099810302057494,1.4,2.2,2156.1012695169998,280.8575806216256,2436.9588501386256,1.0,2.0,1.0,244.72351960683284,2123.4290547649343,4086.2439442133596,1.0,0,1.0,1.0,1.0,1.0,0,logs/merged/housing_groq-llama70b_snap_hyre_statefilter_full_20260520_detail.jsonl
Gemma rag_simple tail,active_partial,housing,or-gemma4-26b,rag_simple,3204,2137,0.6669787765293383,0.34675405742821475,5.0,7.6236579275905125,6.9,13.48499999999999,2838.901061173533,483.0280898876405,3321.9291510611733,1.0012484394506866,1.0012484394506866,0.0,200.78055437042516,1380.8281350355578,4980.562002807675,1.0,0,1.0,1.0,1.0,,0,logs/eval_rag_simple_or-gemma4-26b_20260520_233010_housing_local-snap-hyre-or-gemma4-26b-housing-rag_simple-nfull-k5_detail.jsonl
Gemma q500 snap_hyre,signed_probe,housing,or-gemma4-26b,snap_hyre,500,315,0.63,0.382,5.0,7.634,7.1,13.10999999999999,2423.8,475.682,2899.482,1.0,2.0,1.0,217.28019004773958,1324.4142094928964,4602.352380952381,1.0,0,1.0,1.0,1.0,1.0,0,logs/eval_snap_hyre_or-gemma4-26b_20260521_012744_housing_local-snap-hyre-or-gemma4-26b-housing-snap_hyre-n500-k5_detail.jsonl
Gemma q500 snap_hyre_exemplar,signed_probe,housing,or-gemma4-26b,snap_hyre_exemplar,500,314,0.628,0.412,5.0,7.925,7.4,13.004999999999995,2522.854,466.296,2989.15,1.002,2.0,1.0,210.09317029924895,1346.7840170192324,4759.792993630574,1.0,0,1.0,1.0,1.0,1.0,0,logs/eval_snap_hyre_exemplar_or-gemma4-26b_20260521_023301_housing_local-snap-hyre-or-gemma4-26b-housing-snap_hyre_exemplar-n500-k5_detail.jsonl
